UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.6196+/-0.0259,train_time: 0.00000+/-0.00000,test_time: 0.06985+/-0.00098), => aucs:0.5980833333333333-0.6126222222222223-0.5996666666666666-0.668922222222222-0.6189444444444445, train_times:0-0-0-0-0, test_times:0.0712760324589908-0.0691169417463243-0.06851678304374217-0.06976489573717118-0.07055129911750554, n_comp: -, -, space_sizes: |model_spaces: 974.41-972.49-975.562-974.794-977.098,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7265+/-0.0323,train_time: 0.00000+/-0.00000,test_time: 0.00428+/-0.00080), => aucs:0.7550000000000001-0.6816666666666666-0.7696222222222223-0.7219333333333331-0.7041666666666664, train_times:0-0-0-0-0, test_times:0.005862257909029722-0.003816357348114252-0.003909368813037872-0.004054578207433224-0.0037638788111507893, n_comp: -, -, space_sizes: |model_spaces: 163.997-162.557-163.853-166.061-162.461,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7541+/-0.0168,train_time: 0.00000+/-0.00000,test_time: 0.00462+/-0.00104), => aucs:0.7550000000000001-0.7216666666666669-0.7635555555555555-0.7688444444444442-0.7616666666666667, train_times:0-0-0-0-0, test_times:0.0066180359572172165-0.004121468961238861-0.00467613460496068-0.0038593078032135965-0.003845018055289984, n_comp: -, -, space_sizes: |model_spaces: 162.617-162.713-162.713-162.665-162.617,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9306+/-0.0140,train_time: 0.00000+/-0.00000,test_time: 0.00370+/-0.00013), => aucs:0.9427444444444444-0.9069499999999998-0.9457388888888891-0.924561111111111-0.9329611111111109, train_times:0-0-0-0-0, test_times:0.0034795797429978846-0.003864970989525318-0.003778493497520685-0.0036946804262697696-0.0036959567107260225, n_comp: -, -, space_sizes: |model_spaces: 44.057-43.881-43.705-43.353-43.177,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9322+/-0.0359,train_time: 0.00000+/-0.00000,test_time: 0.00348+/-0.00032), => aucs:0.9592666666666669-0.9523888888888893-0.9179388888888887-0.8680666666666668-0.9634666666666665, train_times:0-0-0-0-0, test_times:0.003113790228962898-0.0031131846830248834-0.0038375010713934898-0.0034825434908270837-0.0038364851847290994, n_comp: -, -, space_sizes: |model_spaces: 42.831-42.831-43.893-42.655-43.717,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9099+/-0.0272,train_time: 0.00000+/-0.00000,test_time: 0.00355+/-0.00007), => aucs:0.8837222222222222-0.9278333333333333-0.8723888888888889-0.9434777777777775-0.9221499999999997, train_times:0-0-0-0-0, test_times:0.0036774640902876854-0.003523921687155962-0.003528637066483498-0.003480825573205948-0.0035145992413163187, n_comp: -, -, space_sizes: |model_spaces: 42.643-42.643-42.819-42.643-42.731,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9210+/-0.0241,train_time: 0.00000+/-0.00000,test_time: 0.00537+/-0.00219), => aucs:0.930211111111111-0.882-0.9563888888888888-0.9224444444444446-0.9139333333333333, train_times:0-0-0-0-0, test_times:0.009524111449718476-0.003964015748351812-0.005661602783948183-0.003821580391377211-0.0038597464561462404, n_comp: -, -, space_sizes: |model_spaces: 44.069-44.069-44.069-44.069-44.069,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6485+/-0.0145,train_time: 0.00000+/-0.00000,test_time: 0.07628+/-0.00056), => aucs:0.6376111111111111-0.6670333333333331-0.6380111111111113-0.665388888888889-0.6346000000000002, train_times:0-0-0-0-0, test_times:0.07669854965060949-0.07680197553709149-0.07640707697719336-0.07628860883414745-0.07521915072575211, n_comp: -, -, space_sizes: |model_spaces: 481.354-481.738-480.97-481.162-480.97,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.4949+/-0.0314,train_time: 0.00000+/-0.00000,test_time: 0.00505+/-0.00129), => aucs:0.4889833333333334-0.5407555555555557-0.45066666666666666-0.47671111111111114-0.5172333333333333, train_times:0-0-0-0-0, test_times:0.007594487722963094-0.004433073103427887-0.004288305435329676-0.004119451157748699-0.004820069298148155, n_comp: -, -, space_sizes: |model_spaces: 143.357-143.309-143.261-143.357-143.261,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
